,Aracaju,Belo Horizonte,Belém,Boa Vista,Brasília,Campo Grande,Cuiabá,Curitiba,Florianópolis,Fortaleza,Goiânia,João Pessoa,Macapá,Maceió,Manaus,Natal,Palmas,Porto Alegre,Porto Velho,Recife,Rio Branco,Rio de Janeiro,Salvador,São Luís,São Paulo,Teresina,Vitória
Aracaju,0.27254463119822986,-0.008291184124985217,0.31562884581797407,0.06822778608333394,-0.009800027449370672,-0.04798089270519559,0.04351360518877603,0.02005917014818797,0.015980429326040938,0.10694700996059718,0.08197123733064765,0.009981603744841045,0.05727330567565392,0.05187916076453076,0.13191299815654375,0.22946765399686989,0.22800238033273595,0.030912148404129033,0.08913568281270426,0.13149267573692372,0.023470769600617787,0.4687849764626845,0.08911743546886401,0.030151848769229616,0.08736685281341389,0.12677196419469494,0.027619576919299362
Belo Horizonte,0.005763134908058101,0.3477408458381716,0.16839185655011166,-0.10930463671038476,0.384379847791367,0.7360054104607818,0.0968716226895732,0.5239702305367334,0.5521741052282197,-0.08087016564264886,0.5667162737675487,0.0029070645387939266,0.02268534427192291,-0.05683767340601018,0.08836192644739475,0.1306792449309351,0.4276149754641056,0.38481908191205577,0.2982604460023958,0.3505462811717875,0.21119982212870597,0.033772497963252414,-0.04289510463088199,0.07951245353455934,0.0785066819920189,-0.02649243486181158,0.4343654827931466
Belém,-0.022062877310531914,-0.06875540037844641,0.48943171006304076,0.13187071132689662,-0.02854813612342352,0.36182456856160233,0.0461743931776032,-0.027135985290428443,-0.01829221988712433,-0.09914957571556564,0.08072802033333973,-0.1707937870354694,0.28781132696036127,0.021606881874613924,0.14699583629157156,-0.08395235521760253,0.24901514853083606,-0.06674054958487996,0.21135257448147213,0.16950050428480626,0.38215296704515794,0.013638970345659534,0.05208335691656279,-0.0024097945602163467,0.04368134680115192,-0.030097471794408973,-0.024802407137931783
Boa Vista,0.21967632698176126,0.080231608851684,0.280177922703834,0.5950122544400994,0.14957401296175774,0.02983775726734244,0.07333202836170222,-0.09360620318072489,-0.12024503404585932,0.1634206648916247,0.0014735834523455559,-0.09235116562970479,0.16228278851720693,0.5173201983196659,-0.01885215220604768,0.0987274771940116,0.05724634993426278,-0.08607998350967395,0.05048766444949506,0.09750529288112338,0.2507985675917094,0.16201274073413732,0.27640819606867695,-0.0286109471678919,0.012672072754631602,0.06453194025181853,0.013747347175784099
Brasília,-0.02981596801172796,0.36044887808180187,0.07942654181251008,-0.17644577830493288,0.5097508725067637,0.5307625147702145,0.11282569098920325,0.3797336875987434,0.4695049402452266,-0.08469140410814059,0.5912921222483912,0.006703810289159968,-0.039011210220611395,-0.09679155699090757,0.09906023314632824,0.027150960541550147,0.516728175281142,0.3655095434807235,0.40686204416743793,0.29605564169576376,0.27108775072501656,0.0004429520582040648,-0.0017882893556469125,0.036360055581619574,0.3267954173417233,0.01402173491455615,0.3493686176343544
Campo Grande,-0.056137890852876564,-0.018278628899175822,-0.018273134875710813,-0.12658411082730117,-0.026279301759270852,0.32581845826540945,0.05737084734917929,0.03513211573702868,0.07397008142715773,-0.16368762150386296,0.12018401905634359,-0.1845623769915786,-0.018979830115697212,-0.1359230074603357,-0.03769906333929269,-0.14274817348937208,0.08042693145677636,-0.02852911787452563,0.33815693144180076,0.07405416639689698,0.088905308643586,-0.08764871101325243,-0.1650964515395503,-0.100332369182877,-0.04988490715458972,-0.16670262547037024,0.05366739079047695
Cuiabá,0.02500816838388869,-0.008973507031090715,0.3123955129807266,0.14257609690537187,-0.07319858458395202,0.03380676664341469,0.28482985157861535,-0.021972848567966434,-0.04874733420184349,-0.02658281401191198,0.10235510499690843,-0.13630635920783662,0.13218897580987513,-0.02561657671895003,-0.017025352750186715,-0.07816068576713504,0.09463839064252959,-0.023494887095985482,0.1263101470475132,0.10733070191165298,0.3568171081847013,0.08720470701340584,0.3176621310776083,-0.123847200799957,0.0011596177018775836,0.016858283958440638,0.16144345155177345
Curitiba,0.027819794422682047,0.23692974531994979,0.12278794664144961,-0.16959114529299138,0.2390304416715024,0.3607867631412624,0.01745245745338767,0.5545576671093427,0.6260000414877251,-0.05032201814837602,0.28901421127800503,0.008215317948555921,-0.03034376274541774,-0.10918171897539083,0.03000145623832199,0.14546008736771646,0.2583173977195932,0.31405789648247034,0.08650682253242481,0.49959457455193956,0.02876000876881376,-0.04002836125542981,-0.06096695339982829,0.11986803871796786,0.049854325646551095,-0.046396852601102594,0.10615692109811153
Florianópolis,-0.009162109956762457,0.22841029803643426,0.03442741004189407,-0.20175278286659828,0.24088096419490077,0.2992556982242512,-0.01317793517660843,0.4893817466094903,0.6232138392561135,-0.062975555788816,0.2744882951242708,0.027024730432192754,-0.05841899819052929,-0.1512274976100763,-0.0025620545042550633,0.12462927968859176,0.3596540435756457,0.28076601227043674,0.06474297256594616,0.4156966631051347,-0.0009637147962410922,-0.07445064884461859,-0.09198435010273269,0.08697723457962932,0.06785252503849003,-0.062268516898729045,0.07427889076538022
Fortaleza,0.2600356732419844,0.24832509345141135,0.4425086692744222,-0.029373773026584504,0.24114687205185178,0.07269218550274409,0.19690685599147068,0.35962877257386094,0.29848915723234754,0.29505347980822605,0.37989566444626466,0.33704026302635787,0.2755900257307754,0.1402295113616676,0.36885999650397067,0.37675960464332764,0.39243970029792136,0.36521754775532306,0.08695505300815191,0.44509378457990245,0.1947531319854575,0.4545473506953481,0.16159520294697344,0.31111062566373937,0.31962700769050123,0.40053845240094504,0.09273396104259601
Goiânia,0.0015612595803044511,0.09854804967568744,0.05160364309500448,-0.14479578911371382,0.13188696895258795,0.34153537583285565,0.07718562369016982,0.30268580768989434,0.325966757372401,-0.07274895124933613,0.4893712104915374,-0.06498160464094464,-0.038044972150085836,-0.18871495778027744,0.02989860256983868,0.028665524541754632,0.23326954018730173,0.19245282216632062,0.2851570849500824,0.3634258592839755,0.08753452025740519,-0.04958868908080323,-0.09828725888729613,-0.028861848661488818,0.2683450900773727,0.0012901343009624412,0.17981724687173145
João Pessoa,0.06663128708320268,0.5275090447646114,0.42790674229610115,-0.1575509668598489,0.5218966995555131,0.3415138703629516,0.11893401121109787,0.6286715636601033,0.5896324024527175,0.28456277187875817,0.5237868721765448,0.5412719057856279,0.3711300052032496,0.15904540187314298,0.35663680687491955,0.4702756662039706,0.5869338347802848,0.6023155595563411,0.03843808604905628,0.5148464610802295,0.17924172779994887,0.33531001156820517,0.1600163601347607,0.488223599520105,0.3669469889232387,0.4672143980260072,0.2495333987347125
Macapá,-0.024512835488187317,0.11360102166044068,0.4452005932884155,0.20040327326072185,0.09212771872406174,0.46441812331353965,0.0077622690288061775,0.13498854692161838,0.115396143075888,-0.013427810261988022,0.15372652618114058,0.06411111274563973,0.5527469809559536,0.14571386893995264,0.08108786204160998,0.010395098525605672,0.2755705774885762,0.09586625087210332,0.09694153799937874,0.15073942342952468,0.3260046891875445,0.0024467264861553328,0.037855368691998126,0.08585855020218314,0.055673070268767444,0.009508595417810945,0.02156113100072165
Maceió,0.16900572963089638,0.3010397705602768,0.5053591494593153,0.33510797647980944,0.4617744332880159,0.2635358441651667,0.2637187121722641,0.13140785153152,0.08149399996135354,0.1227006298172991,0.2099549335983832,0.12564497308138411,0.21259150152399203,0.6295382285153254,0.028345906253542018,0.22710682727839265,0.33489136151942167,0.13930642708166793,0.1691332996915885,0.41855841527220966,0.31268903663267106,0.3712211826168131,0.457883865162543,0.14401763320842884,0.19969954984409108,0.29912218747450353,0.11482124912548144
Manaus,-0.02834631537570542,0.022977282678985928,0.1611889460221394,0.010303571612972653,-0.005156425998729264,0.08754552002425316,-0.021047621116909134,0.04264891539635575,0.03568511907436364,-0.006155893294530332,0.058911023451332735,-0.055359467357814385,0.11552748784671046,-0.03821783015725506,0.3321003820136392,-0.029871337393915825,0.028725162256455418,0.08315665941634222,0.045144460387233125,-0.028025115159239965,0.5856109479244934,0.014598617044638003,-0.05745041475104853,0.03018182222365549,-0.020750835977247875,-0.003905113608155242,0.12119928091703877
Natal,0.2142657317578943,0.08164896839731783,0.4469947720132179,-0.040502660202451454,0.1257808303501285,0.14750926343643034,0.12710658204500344,0.270511766097358,0.2997666064602643,0.15756103916519898,0.203478617864332,0.14065475652367057,0.10181928604414833,0.08259245943733026,0.2669997079274998,0.3843718480225894,0.4096415655674295,0.15085273391960002,0.029765999408321264,0.3488568459465402,0.09836965270496759,0.4382578920205294,0.08626358669580815,0.14455889770796237,0.11657822994783766,0.2343750220252356,0.06860263855791611
Palmas,-0.0020364662110159185,0.007039444204010625,0.25087407883653245,-0.17805083814959546,0.047183498792464904,0.3567056667445162,0.058385748931387836,0.06958181797426466,0.13887806850466378,-0.01299122622835503,0.22138626680068427,-0.04000573941840105,0.07665350312978533,-0.19220128465229497,0.19452022175368894,-0.022388428312357014,0.5089766380931025,0.07081418384312459,0.09780258358056497,0.1998126845572669,0.1513517698166782,0.12263363483464083,-0.04530124942635598,-0.037011260913864974,0.13371590603492095,0.03580521486580624,0.18315920555365447
Porto Alegre,-0.004583383182896838,0.3172436376696139,0.138945288081405,-0.12997819813234165,0.33229327307971257,0.6026629425481833,0.016227556818213733,0.5591730458629677,0.5998477895135786,-0.06136053882908789,0.4733557657517258,0.042085462025892834,0.026821263714731543,-0.05425480400068174,0.1421590182255475,0.14617237567317698,0.3986316320699635,0.38808591237597906,0.13460724624526238,0.4191713887720953,0.08893161579173588,0.0035086636736306807,-0.05596426143681232,0.10661957155216183,0.10813681079840194,-0.0025965242341251795,0.36322274593657355
Porto Velho,-0.05852512215993225,0.01136908363581259,-0.06627033134527965,-0.07947705414273222,-0.030615039358713878,0.06223061368069486,0.044458047090201076,0.08339881801652972,0.07483606886863645,-0.0949841495456229,0.07595038935121094,-0.1237066391535282,-0.0993418210560106,-0.09122110034760866,-0.03691947514517687,-0.07169485444929372,-0.004457441324182812,0.02560875645886319,0.33307964925282446,-0.004939572767693374,-0.01471364947459902,-0.05908121955725317,-0.13606182131782776,-0.05715833197366385,-0.052861176258372965,-0.12739450985503728,-0.031577103445453
Recife,0.1595947825672469,0.10649263513416686,0.3053768274517273,0.046863902390608274,0.17475070057316058,0.15445334860491083,0.021080888493356497,0.1376420498439734,0.2098962830756802,-0.017007300071886017,0.251563878361151,0.005209623871897108,0.06299934948662349,0.10889219451150414,0.025690778960107297,0.0814364614164604,0.24621940947366994,0.09385524945814075,-0.00047493373734929927,0.5474360250226712,0.06399240277829406,0.09297036443804822,0.19359045910064554,0.06949681856033645,0.2827354295504641,0.08124509188826554,0.06532500119512366
Rio Branco,-0.07980764876805399,-0.03599455944065479,0.12533382986216363,0.13695916922351212,-0.01605163731738974,0.12177482596392077,0.062249547860694886,-0.04808571795585452,-0.04572204884182802,-0.13841496063235645,0.11970979332764457,-0.21479872859759844,0.05669961580722057,0.006489926611727824,0.13226130779307418,-0.15297793112157987,-0.030765739266054734,-0.036770967231071046,0.46118755970315,-0.06378048160206694,0.5411963257246207,-0.09621203691648902,-0.0749575164613454,-0.0845289116102486,-0.052417765049820965,-0.1319355574926845,-0.0004530895348164658
Rio de Janeiro,0.09492409014741161,0.03656320051368978,0.4850678671068301,-0.04712920078433193,0.0036408695509824555,0.17693081255562615,0.20415006456188284,0.08112395015498056,0.030490889371152543,0.0576973052592219,0.11431716449990607,0.004128368592324964,0.08295767289906937,0.058476099083601865,0.3513679842069362,0.1595288386474009,0.3796013608987148,0.09456452940486035,0.08365323621429079,0.2325262096201773,0.1680220279222882,0.40247881855913886,0.09053924484734865,0.012458814002646524,0.016770111298768462,0.1681651103419579,0.16017782237400335
Salvador,0.12708782169007685,0.11013999923689644,0.4902903517254709,0.20867310544232542,0.3314522549933452,0.10276101606909924,0.17709009027018363,0.047306050934386716,0.021189583045980034,0.24744037583504133,0.25308565262662386,0.18951602769795464,0.25873329181532134,0.26395008472889464,0.2560372891495801,0.13034188418029505,0.34270439269843644,0.058134758651849396,0.0694271450349359,0.31001461728378304,0.4443006985536582,0.2925258027859456,0.5117097813390624,0.09407162618570182,0.33296909000177993,0.30003824592002526,0.1887201591993831
São Luís,0.06268287145731566,0.2858637884206157,0.5160410406723377,0.14812327093479796,0.3019471568735916,0.3825670366710803,0.0048650650321965284,0.49143693460115745,0.4209636525059623,0.12882625374650264,0.2627061266504559,0.2936588935559297,0.3962440379182613,0.2341534707668102,0.2502866456868189,0.3541629329956083,0.48082928326185875,0.34201853878127947,0.02952662479265619,0.5401696323794523,0.18193777059417723,0.1716784088128278,0.30320800275578913,0.4428547736984435,0.13584368892316137,0.25090118413111756,0.21065042552243773
São Paulo,-0.01309084818320731,-0.021583934557999826,0.0018358295378862535,-0.10577754260634042,0.13405449419641843,0.12237825604785312,-0.021212023740535917,-0.010365092376972283,0.032251783264774736,-0.07817264014365771,0.24618898827755906,-0.041692533108597676,-0.0027911596447848276,-0.11196191412878989,0.05958579375495019,-0.06687822050346412,0.17590777095858798,0.002112799896112676,0.07193888817654778,0.07396670453556498,0.08908895562085455,-0.05578606976361959,-0.012611726800226722,-0.09130800085290887,0.24047709546414972,-0.016303427699314907,0.021126017782032974
Teresina,0.08233114757560772,0.1500363823175566,0.5583090015104684,-0.01780852698150345,0.23382294963477984,0.14755483552851154,0.2062448999486311,0.22540203598617609,0.1816406748986461,0.1769523324670352,0.2650947416360329,0.26137788065027795,0.32712224233463894,0.13935566396876903,0.24999741229171096,0.24582526307671332,0.47251766629557873,0.21020679653558452,0.009400175400424338,0.39071351928846654,0.18538239329758718,0.2987665285392042,0.2726028664854394,0.2599149412068794,0.3303649577795545,0.3321695157991843,0.10960239478562737
Vitória,-0.005061392138433147,0.18203067112579563,0.2045620407930194,0.030610972846628576,0.11775056767530448,0.44489307155677005,0.1090809465759953,0.07643826618578946,0.058641969239291825,-0.02396644998994393,0.3508578068983124,-0.04908162230680619,0.15896445257681893,-0.04719598085128109,0.40180018875817197,-0.05765005110373421,0.21513227323824516,0.20533816648634626,0.09863983340569654,0.04131647602166603,0.36768763882223426,0.131168230022173,0.05622944139173001,-0.04179099202878651,0.06651114388357693,0.0065357642531865,0.6477255389817497
